date,uv
2013-09-22,6.2
2013-09-23,7
2013-09-24,3.3
2013-09-25,7.7
2013-09-26,7.1
2013-09-27,6.7
2013-09-28,4.2
2013-09-29,3.3
2013-09-30,5.2
2014-05-01,7.1
2014-05-02,5.8
2014-05-03,8.1
2014-05-04,6.4
2014-05-05,8.1
2014-05-06,7.3
2014-05-07,7.4
2014-05-08,6.5
2014-05-09,6.8
2014-05-10,6.5
2014-05-11,4.4
2014-05-12,8.4
2014-05-13,NA
2014-05-14,8.6
2014-05-15,9
2014-05-16,7.1
2014-05-17,5.5
2014-05-18,7.2
2014-05-19,7.5
2014-05-20,5.4
2014-05-21,NA
2014-05-22,11.1
2014-05-23,4.4
2014-05-24,6.9
2014-05-25,4
2014-05-26,8.7
2014-05-27,6.6
2014-05-28,6.4
2014-05-29,7.2
2014-05-30,6.1
2014-05-31,6.7
2014-06-01,5.6
2014-06-02,2.8
2014-06-03,8.1
2014-06-04,8.1
2014-06-05,8.2
2014-06-06,8.4
2014-06-07,8.1
2014-06-08,6
2014-06-09,7.3
2014-06-10,6.5
2014-06-11,7.1
2014-06-12,6.6
2014-06-13,6.7
2014-06-14,8.2
2014-06-15,8
2014-06-16,7.1
2014-06-17,5
2014-06-18,7.4
2014-06-19,6.8
2014-06-20,7
2014-06-21,6.3
2014-06-22,7.9
2014-06-23,7.7
2014-06-24,7.8
2014-06-25,8.3
2014-06-26,8.3
2014-06-27,8.2
2014-06-28,7.6
2014-06-29,8.2
2014-06-30,7.8
2014-07-01,7.9
2014-07-02,4
2014-07-03,3.2
2014-07-04,8.9
2014-07-05,4.7
2014-07-06,6.6
2014-07-07,9.2
2014-07-08,9.8
2014-07-09,8.6
2014-07-10,10.1
2014-07-11,8.1
2014-07-12,7
2014-07-13,4.3
2014-07-14,7.6
2014-07-15,6.2
2014-07-16,7.9
2014-07-17,3.9
2014-07-18,8.3
2014-07-19,6.9
2014-07-20,7.7
2014-07-21,8.3
2014-07-22,7.6
2014-07-23,5
2014-07-24,9.6
2014-07-25,10
2014-07-26,8.8
2014-07-27,7.4
2014-07-28,6.6
2014-07-29,8.9
2014-07-30,9.4
2014-07-31,9.3
2014-08-01,10.7
2014-08-02,6.5
2014-08-03,2.6
2014-08-04,4.5
2014-08-05,6.2
2014-08-06,4.1
2014-08-07,4.2
2014-08-08,NA
2014-08-09,NA
2014-08-10,5.6
2014-08-11,NA
2014-08-12,9
2014-08-13,NA
2014-08-14,NA
2014-08-15,8.2
2014-08-16,9.7
2014-08-17,NA
2014-08-18,NA
2014-08-19,NA
2014-08-20,NA
2014-08-21,NA
2014-08-22,8.3
2014-08-23,9.2
2014-08-24,9.4
2014-08-25,8.2
2014-08-26,8.9
2014-08-27,9.5
2014-08-28,9.2
2014-08-29,9.3
2014-08-30,8.8
2014-08-31,7.9
2014-09-01,8.9
2014-09-02,3
2014-09-03,NA
2014-09-04,NA
2014-09-05,8.6
2014-09-06,8.2
2014-09-07,8.5
2014-09-08,8
2014-09-09,7.9
2014-09-10,7.9
2014-09-11,7.7
2014-09-12,3.7
2014-09-13,7.8
2014-09-14,7
2014-09-15,7.5
2014-09-16,8.6
2014-09-17,8.7
2014-09-18,7.6
2014-09-19,8.5
2014-09-20,8
2014-09-21,8.1
2014-09-22,NA
2014-09-23,NA
2014-09-24,6.8
2014-09-25,7.3
2014-09-26,6.7
2014-09-27,6.7
2014-09-28,6.5
2014-09-29,NA
2014-09-30,NA
2015-05-01,9.9
2015-05-02,NA
2015-05-03,NA
2015-05-04,8.8
2015-05-05,NA
2015-05-06,8.4
2015-05-07,7.2
2015-05-08,5.1
2015-05-09,NA
2015-05-10,NA
2015-05-11,8.4
2015-05-12,7.2
2015-05-13,5.1
2015-05-14,8.2
2015-05-15,5.9
2015-05-16,NA
2015-05-17,NA
2015-05-18,10
2015-05-19,4
2015-05-20,8.4
2015-05-21,10.1
2015-05-22,9.5
2015-05-23,NA
2015-05-24,NA
2015-05-25,NA
2015-05-26,10.7
2015-05-27,10.7
2015-05-28,10.8
2015-05-29,11.4
2015-05-30,NA
2015-05-31,NA
2015-06-01,10.6
2015-06-02,10.3
2015-06-03,10.8
2015-06-04,10.6
2015-06-05,9.4
2015-06-06,NA
2015-06-07,NA
2015-06-08,5.9
2015-06-09,10.7
2015-06-10,9.6
2015-06-11,6.4
2015-06-12,8.7
2015-06-13,NA
2015-06-14,NA
2015-06-15,9.2
2015-06-16,9.4
2015-06-17,8.1
2015-06-18,9.6
2015-06-19,8.8
2015-06-20,NA
2015-06-21,NA
2015-06-22,8.8
2015-06-23,8.6
2015-06-24,9.5
2015-06-25,6.2
2015-06-26,8.1
2015-06-27,NA
2015-06-28,NA
2015-06-29,11.1
2015-06-30,11.7
2015-07-01,11.4
2015-07-02,8.5
2015-07-03,9.5
2015-07-04,NA
2015-07-05,NA
2015-07-06,9.5
2015-07-07,6.5
2015-07-08,9.3
2015-07-09,NA
2015-07-10,12.3
2015-07-11,NA
2015-07-12,NA
2015-07-13,NA
2015-07-14,NA
2015-07-15,NA
2015-07-16,NA
2015-07-17,NA
2015-07-18,NA
2015-07-19,NA
2015-07-20,NA
2015-07-21,NA
2015-07-22,NA
2015-07-23,NA
2015-07-24,NA
2015-07-25,NA
2015-07-26,NA
2015-07-27,NA
2015-07-28,NA
2015-07-29,NA
2015-07-30,NA
2015-07-31,NA
2015-08-01,NA
2015-08-02,NA
2015-08-03,NA
2015-08-04,NA
2015-08-05,NA
2015-08-06,NA
2015-08-07,NA
2015-08-08,NA
2015-08-09,NA
2015-08-10,NA
2015-08-11,NA
2015-08-12,NA
2015-08-13,NA
2015-08-14,NA
2015-08-15,NA
2015-08-16,NA
2015-08-17,NA
2015-08-18,NA
2015-08-19,NA
2015-08-20,NA
2015-08-21,NA
2015-08-22,NA
2015-08-23,NA
2015-08-24,NA
2015-08-25,NA
2015-08-26,NA
2015-08-27,NA
2015-08-28,NA
2015-08-29,NA
2015-08-30,NA
2015-08-31,NA
2015-09-01,NA
2015-09-02,NA
2015-09-03,NA
2015-09-04,NA
2015-09-05,NA
2015-09-06,NA
2015-09-07,NA
2015-09-08,NA
2015-09-09,NA
2015-09-10,NA
2015-09-11,NA
2015-09-12,NA
2015-09-13,NA
2015-09-14,NA
2015-09-15,NA
2015-09-16,NA
2015-09-17,NA
2015-09-18,NA
2015-09-19,NA
2015-09-20,NA
2015-09-21,NA
2015-09-22,NA
2015-09-23,NA
2015-09-24,NA
2015-09-25,NA
2015-09-26,NA
2015-09-27,NA
2015-09-28,NA
2015-09-29,NA
2015-09-30,NA
2016-05-01,8.7
2016-05-02,8.3
2016-05-03,NA
2016-05-04,8.8
2016-05-05,9
2016-05-06,NA
2016-05-07,9.8
2016-05-08,10.3
2016-05-09,9
2016-05-10,7.7
2016-05-11,NA
2016-05-12,9.8
2016-05-13,10.3
2016-05-14,9
2016-05-15,7.7
2016-05-16,9.4
2016-05-17,9.4
2016-05-18,9.6
2016-05-19,9
2016-05-20,9.3
2016-05-21,10.4
2016-05-22,10.2
2016-05-23,10.4
2016-05-24,10.3
2016-05-25,NA
2016-05-26,7.3
2016-05-27,NA
2016-05-28,11.1
2016-05-29,10.5
2016-05-30,10.1
2016-05-31,7.7
2016-06-01,NA
2016-06-02,9.5
2016-06-03,11.2
2016-06-04,NA
2016-06-05,9.9
2016-06-06,9.1
2016-06-07,NA
2016-06-08,NA
2016-06-09,NA
2016-06-10,NA
2016-06-11,9.2
2016-06-12,5.2
2016-06-13,10.1
2016-06-14,9.7
2016-06-15,6.5
2016-06-16,11.2
2016-06-17,7.4
2016-06-18,10.5
2016-06-19,9.4
2016-06-20,7.5
2016-06-21,NA
2016-06-22,9.9
2016-06-23,10.1
2016-06-24,8.5
2016-06-25,9.4
2016-06-26,NA
2016-06-27,NA
2016-06-28,NA
2016-06-29,NA
2016-06-30,NA
2016-07-01,NA
2016-07-02,NA
2016-07-03,3.1
2016-07-04,NA
2016-07-05,NA
2016-07-06,NA
2016-07-07,12.5
2016-07-08,9.7
2016-07-09,NA
2016-07-10,11
2016-07-11,10.8
2016-07-12,10.1
2016-07-13,NA
2016-07-14,11.3
2016-07-15,6.7
2016-07-16,NA
2016-07-17,NA
2016-07-18,10.8
2016-07-19,10
2016-07-20,10.1
2016-07-21,11.7
2016-07-22,11.1
2016-07-23,9.5
2016-07-24,9.4
2016-07-25,10.5
2016-07-26,10.7
2016-07-27,5.6
2016-07-28,10
2016-07-29,4.2
2016-07-30,9.3
2016-07-31,9.8
2016-08-01,10.4
2016-08-02,5.8
2016-08-03,NA
2016-08-04,8.9
2016-08-05,9.3
2016-08-06,8.6
2016-08-07,9.3
2016-08-08,10.1
2016-08-09,9.2
2016-08-10,10.5
2016-08-11,10.4
2016-08-12,10.4
2016-08-13,10
2016-08-14,10.1
2016-08-15,9.8
2016-08-16,9.5
2016-08-17,8.9
2016-08-18,7.6
2016-08-19,7.6
2016-08-20,NA
2016-08-21,7.1
2016-08-22,9.2
2016-08-23,9.3
2016-08-24,9.3
2016-08-25,9.1
2016-08-26,10.1
2016-08-27,9.8
2016-08-28,8
2016-08-29,8.9
2016-08-30,9.1
2016-08-31,9.6
2016-09-01,6.2
2016-09-02,7.9
2016-09-03,8.4
2016-09-04,8.1
2016-09-05,7.3
2016-09-06,5.1
2016-09-07,8.5
2016-09-08,7.2
2016-09-09,7.8
2016-09-10,7.5
2016-09-11,7.7
2016-09-12,7.4
2016-09-13,7.7
2016-09-14,7.8
2016-09-15,7.5
2016-09-16,4
2016-09-17,5.4
2016-09-18,8.8
2016-09-19,8.5
2016-09-20,8
2016-09-21,7.4
2016-09-22,7.3
2016-09-23,7.1
2016-09-24,6.7
2016-09-25,6.6
2016-09-26,8.1
2016-09-27,NA
2016-09-28,NA
2016-09-29,NA
2016-09-30,NA
