,date,일누적 자외선 A(MJ/m2),일최대 자외선 B(W/m2 ),평균 오존전량(DU),미세머지_10,미세머지_11,미세머지_12,미세머지_13,미세머지_14,운량_10,운량_11,운량_12,운량_13,운량_14,총자외선지수 일최고값
46,2012-02-16,0.62,0.092,-999.0,41.0,35.0,36.0,43.0,-999.0,0.0,0.0,0.0,0.0,0.0,4.5
47,2012-02-17,0.68,0.094,-999.0,36.0,32.0,34.0,35.0,34.0,1.0,0.0,1.0,2.0,2.0,4.6
48,2012-02-18,0.7,0.097,-999.0,36.0,38.0,36.0,37.0,40.0,2.0,2.0,1.0,0.0,1.0,4.7
49,2012-02-19,0.76,0.099,-999.0,25.0,25.0,23.0,20.0,18.0,0.0,2.0,1.0,0.0,0.0,4.8
50,2012-02-20,0.68,0.087,-999.0,29.0,26.0,19.0,24.0,25.0,0.0,0.0,0.0,0.0,0.0,4.3
51,2012-02-21,0.37,0.059,-999.0,50.0,51.0,55.0,71.0,82.0,3.0,10.0,10.0,10.0,10.0,2.8
52,2012-02-22,0.55,0.102,-999.0,41.0,40.0,29.0,26.0,28.0,7.0,8.0,8.0,9.0,1.0,4.9
53,2012-02-23,0.38,0.067,-999.0,68.0,76.0,80.0,76.0,82.0,10.0,10.0,10.0,8.0,7.0,3.2
54,2012-02-24,0.44,0.082,-999.0,113.0,104.0,99.0,94.0,89.0,3.0,5.0,5.0,6.0,6.0,3.9
55,2012-02-25,0.48,0.068,-999.0,48.0,31.0,23.0,27.0,31.0,10.0,10.0,10.0,10.0,10.0,3.3
56,2012-02-26,0.51,0.093,-999.0,31.0,32.0,35.0,28.0,36.0,9.0,9.0,9.0,9.0,7.0,4.5
57,2012-02-27,0.8,0.118,-999.0,33.0,30.0,39.0,33.0,32.0,6.0,5.0,5.0,3.0,2.0,5.7
58,2012-02-28,0.51,0.084,-999.0,39.0,37.0,37.0,38.0,36.0,7.0,7.0,8.0,8.0,8.0,4.0
59,2012-02-29,0.79,0.121,-999.0,18.0,14.0,21.0,28.0,30.0,0.0,1.0,1.0,1.0,2.0,5.8
60,2012-03-01,0.68,0.118,-999.0,55.0,60.0,52.0,54.0,49.0,0.0,0.0,0.0,0.0,0.0,5.5
61,2012-03-02,0.26,0.038,-999.0,65.0,49.0,54.0,54.0,53.0,10.0,10.0,10.0,10.0,10.0,1.8
62,2012-03-03,0.73,0.13,-999.0,16.0,8.0,9.0,7.0,10.0,4.0,4.0,5.0,5.0,5.0,6.1
63,2012-03-04,0.34,0.073,-999.0,12.0,13.0,11.0,13.0,12.0,10.0,10.0,10.0,10.0,10.0,3.4
64,2012-03-05,0.19,0.033,-999.0,8.0,5.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,1.6
65,2012-03-06,0.31,0.083,-999.0,14.0,20.0,24.0,72.0,143.0,10.0,10.0,10.0,10.0,9.0,4.0
66,2012-03-07,0.56,0.114,-999.0,45.0,49.0,53.0,55.0,51.0,9.0,8.0,8.0,8.0,8.0,5.2
67,2012-03-08,0.69,0.104,-999.0,59.0,58.0,52.0,37.0,40.0,8.0,7.0,7.0,7.0,6.0,5.0
68,2012-03-09,0.74,0.124,-999.0,55.0,52.0,49.0,46.0,45.0,8.0,7.0,6.0,4.0,5.0,5.9
69,2012-03-10,0.74,-999.0,-999.0,43.0,40.0,29.0,33.0,36.0,2.0,0.0,1.0,0.0,0.0,6.5
70,2012-03-11,0.86,0.153,-999.0,28.0,28.0,27.0,28.0,29.0,5.0,4.0,4.0,4.0,4.0,7.1
71,2012-03-12,0.95,0.115,-999.0,30.0,26.0,21.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,5.7
72,2012-03-13,0.9,0.113,-999.0,46.0,45.0,39.0,33.0,32.0,1.0,2.0,2.0,2.0,2.0,5.5
73,2012-03-14,0.43,0.069,-999.0,31.0,37.0,27.0,31.0,28.0,7.0,8.0,8.0,8.0,8.0,3.3
74,2012-03-15,0.78,0.136,-999.0,28.0,28.0,26.0,19.0,25.0,0.0,0.0,0.0,0.0,0.0,6.5
75,2012-03-16,0.28,0.048,-999.0,63.0,52.0,51.0,41.0,33.0,10.0,10.0,10.0,10.0,10.0,2.2
76,2012-03-17,0.56,0.131,-999.0,15.0,15.0,31.0,37.0,43.0,10.0,9.0,10.0,10.0,10.0,5.8
77,2012-03-18,0.49,0.076,-999.0,52.0,64.0,62.0,64.0,57.0,8.0,8.0,8.0,8.0,8.0,3.7
78,2012-03-19,0.76,0.13,-999.0,28.0,30.0,31.0,29.0,30.0,6.0,5.0,6.0,8.0,8.0,6.1
79,2012-03-20,-999.0,0.132,-999.0,29.0,32.0,30.0,34.0,32.0,3.0,4.0,3.0,3.0,3.0,6.4
80,2012-03-21,0.97,0.138,-999.0,46.0,39.0,40.0,34.0,29.0,0.0,0.0,0.0,0.0,0.0,6.7
81,2012-03-22,0.56,0.106,-999.0,37.0,27.0,31.0,42.0,43.0,10.0,10.0,10.0,10.0,10.0,5.0
82,2012-03-23,0.15,0.043,-999.0,21.0,19.0,23.0,19.0,18.0,10.0,10.0,10.0,10.0,10.0,2.0
83,2012-03-24,0.96,0.159,-999.0,44.0,37.0,36.0,33.0,33.0,0.0,0.0,1.0,1.0,2.0,7.5
84,2012-03-25,1.04,0.138,-999.0,75.0,62.0,65.0,71.0,60.0,1.0,1.0,1.0,1.0,1.0,6.6
85,2012-03-26,1.04,0.157,-999.0,38.0,34.0,36.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,7.4
86,2012-03-27,0.67,0.09,-999.0,22.0,26.0,30.0,22.0,24.0,0.0,5.0,8.0,8.0,7.0,4.4
87,2012-03-28,0.66,0.126,-999.0,61.0,65.0,62.0,63.0,67.0,7.0,7.0,5.0,0.0,0.0,6.0
88,2012-03-29,0.67,0.115,-999.0,58.0,63.0,56.0,59.0,61.0,4.0,6.0,7.0,7.0,7.0,5.4
89,2012-03-30,0.17,0.029,-999.0,25.0,27.0,25.0,24.0,31.0,10.0,10.0,10.0,10.0,10.0,1.4
90,2012-03-31,0.8,0.095,-999.0,43.0,40.0,52.0,60.0,59.0,0.0,0.0,6.0,6.0,6.0,4.7
91,2012-04-01,0.84,0.12,-999.0,102.0,81.0,96.0,96.0,91.0,0.0,0.0,0.0,0.0,0.0,5.8
92,2012-04-02,0.42,0.076,-999.0,116.0,143.0,128.0,113.0,111.0,9.0,9.0,9.0,9.0,10.0,3.5
93,2012-04-03,0.87,0.118,-999.0,25.0,44.0,65.0,68.0,64.0,10.0,10.0,7.0,3.0,6.0,5.9
94,2012-04-04,0.91,0.131,-999.0,58.0,71.0,92.0,91.0,84.0,0.0,3.0,3.0,3.0,3.0,6.2
95,2012-04-05,0.89,0.139,-999.0,59.0,47.0,49.0,46.0,50.0,0.0,0.0,0.0,0.0,0.0,6.7
96,2012-04-06,1.08,0.14,-999.0,24.0,28.0,31.0,67.0,46.0,7.0,7.0,4.0,0.0,0.0,6.8
97,2012-04-07,0.94,0.143,-999.0,41.0,38.0,34.0,38.0,41.0,0.0,0.0,0.0,0.0,0.0,6.9
98,2012-04-08,0.84,0.157,-999.0,62.0,48.0,55.0,53.0,51.0,0.0,0.0,0.0,0.0,0.0,7.4
99,2012-04-09,0.56,0.124,-999.0,20.0,26.0,25.0,36.0,37.0,10.0,8.0,8.0,8.0,4.0,5.9
100,2012-04-10,0.27,0.059,-999.0,52.0,56.0,52.0,47.0,53.0,10.0,10.0,10.0,10.0,10.0,2.6
101,2012-04-11,0.78,0.17,-999.0,11.0,15.0,10.0,16.0,29.0,10.0,10.0,10.0,6.0,4.0,8.0
102,2012-04-12,0.95,0.173,-999.0,47.0,45.0,39.0,41.0,35.0,0.0,3.0,3.0,4.0,7.0,8.1
103,2012-04-13,0.64,0.152,-999.0,28.0,25.0,21.0,23.0,21.0,10.0,10.0,10.0,10.0,10.0,7.0
104,2012-04-14,0.92,0.193,-999.0,14.0,20.0,13.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,9.0
105,2012-04-15,1.15,0.181,-999.0,37.0,16.0,23.0,21.0,13.0,8.0,4.0,0.0,0.0,0.0,8.4
106,2012-04-16,0.82,0.146,-999.0,13.0,27.0,32.0,24.0,22.0,4.0,3.0,0.0,0.0,0.0,6.9
107,2012-04-17,1.28,0.195,-999.0,43.0,29.0,37.0,41.0,39.0,0.0,0.0,0.0,0.0,0.0,9.1
108,2012-04-18,1.03,0.157,-999.0,36.0,28.0,26.0,33.0,33.0,8.0,6.0,6.0,7.0,7.0,7.4
109,2012-04-19,0.78,0.156,-999.0,52.0,54.0,54.0,55.0,54.0,5.0,5.0,4.0,4.0,6.0,7.3
110,2012-04-20,1.08,0.202,-999.0,22.0,27.0,25.0,27.0,28.0,4.0,3.0,6.0,6.0,6.0,9.3
111,2012-04-21,0.29,0.113,-999.0,9.0,10.0,7.0,5.0,-999.0,10.0,10.0,10.0,10.0,10.0,5.2
112,2012-04-22,0.4,0.11,-999.0,4.0,6.0,14.0,15.0,19.0,10.0,10.0,10.0,10.0,10.0,5.1
113,2012-04-23,0.59,0.141,-999.0,50.0,51.0,48.0,48.0,42.0,8.0,7.0,7.0,6.0,3.0,6.5
114,2012-04-24,1.13,0.199,-999.0,53.0,51.0,51.0,51.0,58.0,4.0,5.0,5.0,5.0,5.0,9.3
